"","X","name","location","lon","lat"
"3232",5340,"bp1458","Wilkes Barre, PA",-75.8813075,41.2459149
"3233",5341,"RosemaryQuinlin","Rutherford, PA",-76.7680263,40.2689785
"3235",5344,"urbanx_f","Toronto",-79.3831843,43.653226
"3236",5346,"Qual_Insights","Charleston, WV",-81.6326234,38.3498195
"3237",5348,"JKneuvean","Kansas City, Missouri",-94.5785667,39.0997265
"3238",5349,"bananagretz","Memphis, TN",-90.0489801,35.1495343
"3240",5351,"nhclv","Allentown, PA.",-75.4714098,40.6022939
"3241",5352,"PreciousKumbani"," Blantyre - Malawi",35.0167866,-15.7666707
"3242",5353,"bcmhouston","Houston, Texas",-95.3698028,29.7604267
"3243",5354,"tonirtx","Texas, USA",-99.9018131,31.9685988
"3244",5355,"WHPharmacist","Twinsburg, OH",-81.4401129,41.3125552
"3245",5356,"miguel_lezana","México",-73.3467167,42.2024768
"3246",5357,"Luminex","Austin, TX",-97.7430608,30.267153
"3247",5358,"jctar1","TX",-99.9018131,31.9685988
"3248",5359,"shyduroff","@MIT+brksr'pthbrmbccdvtm/rattftpt",-71.09416,42.360091
"3250",5361,"ARHumanServices","Little Rock, AR",-92.2895948,34.7464809
"3251",5362,"ldmsnurse","Lake Dallas, TX",-97.0255641,33.1192875
"3253",5365,"DrKND","Ashland, OR, USA",-122.7094767,42.1945758
"3255",5367,"GreySouthwick","Minnesota, USA",-94.6858998,46.729553
"3256",5368,"Tammylbg","Hartly, DE, USA",-75.7132641,39.168723
"3257",5369,"shodamolaJR","Georgia, USA",-82.9000751,32.1656221
"3258",5370,"lacitybrenda","Los Angeles, California",-118.2436849,34.0522342
"3259",5371,"SCBHSBenson","Benson, MN",-95.6000349,45.3149603
"3260",5373,"libbyrn","Raleigh NC",-78.6381787,35.7795897
"3261",5374,"csmithgonzalez","Galveston, TX",-94.7976958,29.3013479
"3262",5375,"AJBrumley78","Lexington, KY",-84.5037164,38.0405837
"3263",5377,"MiguelDePedroA1","Valladolid, Spain",-4.7245321,41.652251
"3264",5378,"AAACERT","Annapolis, MD",-76.4921829,38.9784453
"3270",5387,"jkruse1010","Marshfield, Wisconsin",-90.1717987,44.6688524
"3271",5388,"coloradogov","Colorado",-105.7820674,39.5500507
"3273",5395,"mfldclinic","Wisconsin",-88.7878678,43.7844397
"3274",5398,"justacooldude","Michigan",-85.6023643,44.3148443
"3275",5400,"weicheltb","Marshfield, WI",-90.1717987,44.6688524
"3276",5405,"mystlukes","Lehigh Valley, Pennsylvania",-75.4751457,40.6010681
"3278",5407,"Usamah_Ahmad_I","Nigeria",8.675277,9.081999
"3279",5408,"Drvaliente","Comunidad Europea",4.377316,50.840462
"3280",5410,"PhysiciansPract","Baltimore, MD",-76.6121893,39.2903848
"3281",5414,"FritzQuincke","St.Pauli bei Hamborg-Altno",9.9600489,53.5602309
"3282",5415,"INsdc","Indianapolis, IN",-86.158068,39.768403
"3283",5420,"RodneyRohde","Texas State University - @TXST_CLS",-97.938351,29.888411
"3284",5423,"Caerage","Denmark",9.501785,56.26392
"3286",5427,"AffiliatedPhys","United States",-95.712891,37.09024
"3288",5429,"ecoderre","Bristol, CT 06010 USA",-72.9492703,41.6717648
"3290",5432,"OfficePro5","USA",-95.712891,37.09024
"3291",5436,"clelialarenza","Acquaviva delle Fonti, Puglia",16.8454361,40.8971942
"3292",5437,"RetireMEDiQ","Dayton and Cincinnati, Ohio",-84.2077968,39.7500678
"3293",5438,"rubbadoc","Włocławek, Polska",-120.7401385,47.7510741
"3294",5439,"demand_dissent","Frederick, MD",-77.4105409,39.4142688
"3299",5449,"CrismonUTCOP","Austin, TX",-97.7430608,30.267153
"3300",5455,"FredNatrella","Spain",-3.74922,40.463667
"3303",5458,"nmpra","United States",-95.712891,37.09024
"3307",5463,"LiLSwurvie","ATL - WV - LA",-84.3879824,33.7489954
"3308",5464,"officialgfendi","West Virginia, USA",-80.4549026,38.5976262
"3312",5468,"pemdoc","Houston",-95.3698028,29.7604267
"3315",5472,"STX488","Cardiff NJ",-74.5871006,39.4101165
"3316",5473,"pharmacopsych","San Antonio, Texas",-98.4936282,29.4241219
"3317",5474,"alruthHR","Jacksonville, Florida",-81.655651,30.3321838
"3318",5475,"Cindy_52s","United States",-95.712891,37.09024
"3320",5478,"SinfoniaRx","Tucson, AZ",-110.9747108,32.2226066
"3321",5479,"graham_dodge","Kansas City, MO",-94.5785667,39.0997265
"3322",5480,"johncalichi","Chicago, IL",-87.6297982,41.8781136
"3323",5481,"TM_Loftus","Chicago, IL",-87.6297982,41.8781136
"3324",5482,"SherazKhanTT","Unknown",-80.8575394,35.2205059
"3325",5486,"dr_frankm","Camrose Alberta Canada",-112.8285983,53.0222045
"3327",5488,"KenRedcrossMD","New York, USA",-74.0059728,40.7127753
"3330",5500,"emuna670","Northern Mariana Islands",145.6739,15.0979
"3331",5501,"ArielBlocker","Lyon (France)",4.835659,45.764043
"3332",5503,"JeremyFarrar","London",-0.1277583,51.5073509
"3333",5504,"MammaF","Greater Toronto Area (GTA)",-79.1999949,44.0383744
"3334",5505,"IDSAInfo","Arlington, VA",-77.0909809,38.8816208
"3337",5509,"Cm_KeithKaplan","Teaneck, NJ",-74.0116536,40.8932469
"3338",5510,"AFTeaneck","Teaneck, NJ",-74.0116536,40.8932469
"3340",5512,"paedsem","Brisbane, Australia",153.0251235,-27.4697707
"3341",5516,"pccm_doc","Cincinnati, OH",-84.5120196,39.1031182
"3342",5517,"ONEHealthOhio1","Youngstown, OH",-80.6495194,41.0997803
"3343",5518,"RussMontgomery4","Eatonton, GA",-83.3884961,33.3267997
"3344",5519,"RobinEnochs","Texas ♡ Yeshua ",-97.361218,32.6612608
"3345",5521,"lifesapartayy","Tuscaloosa, AL",-87.5691735,33.2098407
"3347",5524,"DavidDoc","Little Rock",-92.2895948,34.7464809
"3348",5525,"chukanestor","Columbia, Missouri",-92.3340724,38.9517053
"3349",5526,"plattehealth","Platte City, MO",-94.7824609,39.3702773
"3350",5527,"PlacerCA","California, USA",-119.4179324,36.778261
"3351",5528,"EvidenceRobot","Belfast, Northern Ireland",-5.93012,54.597285
"3352",5529,"purpleduck76","north,ca United States",-79.0192997,35.7595731
"3353",5530,"NCFam_United","Burlington, NC",-79.4377991,36.0956918
"3354",5532,"Doc_Durham","Abbeville, SC",-82.3790147,34.1781719
"3355",5533,"ChicagoScience","Chicago",-87.6297982,41.8781136
"3356",5535,"SPKwomenshealth","Cleveland, OH",-81.6943605,41.49932
"3357",5536,"ColleenHuberNMD","Tempe, AZ",-111.9400054,33.4255104
"3358",5539,"YouCompli","Pittsburgh, PA",-79.9958864,40.4406248
"3359",5540,"BlakeCirks","Gaithersburg, MD",-77.2013705,39.1434406
"3360",5541,"CintasClean","USA ",-95.712891,37.09024
"3361",5542,"PMP_Consultant","South Africa",22.937506,-30.559482
"3362",5547,"DrBramPedsER","Houston, TX",-95.3698028,29.7604267
"3364",5549,"KymmBallard","North Carolina",-79.0192997,35.7595731
"3365",5552,"mathiaspier1","Michigan, USA",-85.6023643,44.3148443
"3366",5553,"ChrisCarrollMD","Usually CT, sometimes AK",-73.087749,41.6032207
"3367",5554,"NALISTT","Trinidad and Tobago",-61.222503,10.691803
